dataset_name,timestamp,segment_id,road_name,start_node,end_node,direction,day_of_week,hour_slot,weather_condition,speed_kmh,flow_vph,capacity_vph,occupancy_pct,congestion_index,incident_flag,route_status
historical_traffic,2025-01-06 07:00:00,S-101,MG Road,Node_12,Node_14,Inbound,Monday,Peak,Clear,32.5,1250,1600,78,0.78,0,Congested
historical_traffic,2025-01-06 08:00:00,S-101,MG Road,Node_12,Node_14,Inbound,Monday,Peak,Clear,28.9,1380,1600,86,0.86,1,Congested
historical_traffic,2025-01-06 12:00:00,S-104,Secunderabad Main Road,Node_20,Node_22,Outbound,Monday,OffPeak,Cloudy,46.8,940,1500,62,0.63,0,Moderate
historical_traffic,2025-01-06 16:00:00,S-112,Airport Road,Node_30,Node_33,Inbound,Monday,Evening,Clear,35.2,1180,1500,79,0.79,0,Congested
historical_traffic,2025-01-07 10:00:00,S-118,Old City Connector,Node_40,Node_43,Outbound,Tuesday,Midday,Sunny,54.2,820,1500,55,0.55,0,Moderate
historical_traffic,2025-01-07 20:00:00,S-125,Hi-Tech City Flyover,Node_48,Node_51,Inbound,Tuesday,Night,Clear,61.5,610,1400,44,0.44,0,Free
incident_monitoring,2025-02-12 08:15:00,S-205,Saroor Nagar Corridor,Node_60,Node_64,Inbound,Wednesday,Peak,Rainy,18.7,1420,1500,95,0.95,1,Congested
incident_monitoring,2025-02-12 08:30:00,S-205,Saroor Nagar Corridor,Node_60,Node_64,Inbound,Wednesday,Peak,Rainy,15.8,1560,1500,98,0.98,1,Congested
incident_monitoring,2025-02-12 09:00:00,S-210,Inner Ring Road,Node_66,Node_71,Outbound,Wednesday,Peak,Rainy,22.4,1335,1600,84,0.84,1,Congested
incident_monitoring,2025-02-12 11:00:00,S-214,Panjagutta Link,Node_72,Node_76,Inbound,Wednesday,OffPeak,Cloudy,48.1,760,1500,51,0.51,0,Moderate
incident_monitoring,2025-02-13 17:30:00,S-220,LB Nagar Road,Node_80,Node_84,Outbound,Thursday,Evening,Clear,37.6,1015,1450,70,0.70,0,Moderate
incident_monitoring,2025-02-13 18:00:00,S-220,LB Nagar Road,Node_80,Node_84,Outbound,Thursday,Evening,Clear,33.2,1120,1450,77,0.77,0,Congested
forecast_validation,2025-03-04 06:45:00,S-305,Charminar Eastern Road,Node_90,Node_94,Inbound,Tuesday,Peak,Fog,29.9,1210,1500,81,0.81,0,Congested
forecast_validation,2025-03-04 07:00:00,S-305,Charminar Eastern Road,Node_90,Node_94,Inbound,Tuesday,Peak,Fog,27.8,1285,1500,86,0.86,0,Congested
forecast_validation,2025-03-04 08:00:00,S-310,Necklace Road,Node_95,Node_98,Outbound,Tuesday,Peak,Clear,41.6,960,1500,64,0.64,0,Moderate
forecast_validation,2025-03-04 14:30:00,S-318,Shamshabad Road,Node_100,Node_104,Inbound,Tuesday,Midday,Sunny,58.1,670,1500,45,0.45,0,Free
forecast_validation,2025-03-05 17:00:00,S-322,Nampally Junction,Node_106,Node_110,Outbound,Wednesday,Evening,Cloudy,39.7,990,1500,66,0.66,0,Moderate
forecast_validation,2025-03-05 18:30:00,S-322,Nampally Junction,Node_106,Node_110,Outbound,Wednesday,Evening,Cloudy,34.8,1085,1500,72,0.72,0,Moderate
security_watch,2025-04-09 07:30:00,S-401,Khairtabad Main Road,Node_115,Node_118,Inbound,Saturday,Peak,Clear,26.3,1375,1600,86,0.86,1,Congested
security_watch,2025-04-09 07:45:00,S-401,Khairtabad Main Road,Node_115,Node_118,Inbound,Saturday,Peak,Clear,24.6,1440,1600,90,0.90,1,Congested
security_watch,2025-04-09 08:15:00,S-405,Shivam Road,Node_119,Node_122,Outbound,Saturday,Peak,Sunny,44.2,870,1500,58,0.58,0,Moderate
security_watch,2025-04-09 12:15:00,S-410,West Marredpally,Node_123,Node_126,Inbound,Saturday,OffPeak,Clear,62.4,610,1500,41,0.41,0,Free
security_watch,2025-04-10 09:00:00,S-415,Madhapur Ring Road,Node_130,Node_134,Outbound,Sunday,Midday,Cloudy,57.9,720,1500,48,0.48,0,Free
security_watch,2025-04-10 18:45:00,S-420,Film City Access,Node_136,Node_140,Inbound,Sunday,Evening,Rainy,31.8,1175,1500,78,0.78,0,Congested
